t,wall,tx_bytes,rx_bytes,tx_Bps,rx_Bps,tx_packets,tx_errors,tx_dropped,rx_errors,rx_dropped,clients,signal_dbm,tx_mbps,rx_mbps,tx_retries,tx_failed,cpu_pct,temp_c,watts,fan_pct,throttles
1.0,16:20:50,2395409502,1076328656,0,0,2017956,0,168,0,17,0,,,,0,0,4.7,51.0,,29,0
2.0,16:20:51,2395409502,1076328656,0,0,2017956,0,168,0,17,0,,,,0,0,4.4,51.0,,28,0
3.0,16:20:52,2395409703,1076328656,201,0,2017957,0,168,0,17,0,,,,0,0,5.7,51.0,,28,0
4.0,16:20:53,2395409924,1076328656,221,0,2017958,0,168,0,17,0,,,,0,0,5.0,52.0,,28,0
5.0,16:20:54,2395409924,1076328656,0,0,2017958,0,168,0,17,0,,,,0,0,5.2,51.0,,28,0
6.1,16:20:55,2395409924,1076328656,0,0,2017958,0,168,0,17,0,,,,0,0,4.4,51.0,,29,0
7.1,16:20:56,2395409924,1076328656,0,0,2017958,0,168,0,17,0,,,,0,0,9.9,50.0,,28,0
8.1,16:20:57,2395409924,1076328656,0,0,2017958,0,168,0,17,0,,,,0,0,3.9,51.0,,27,0
9.1,16:20:58,2395409924,1076328656,0,0,2017958,0,168,0,17,0,,,,0,0,3.4,51.0,,28,0
10.1,16:20:59,2395409924,1076328656,0,0,2017958,0,168,0,17,0,,,,0,0,3.1,51.0,,27,0
11.1,16:21:00,2395409924,1076328656,0,0,2017958,0,168,0,17,0,,,,0,0,3.2,50.0,,28,0
12.1,16:21:01,2395409924,1076328656,0,0,2017958,0,168,0,17,0,,,,0,0,3.2,50.0,,27,0
13.1,16:21:02,2395409924,1076328656,0,0,2017958,0,168,0,17,0,,,,0,0,3.6,51.0,,27,0
14.1,16:21:03,2395409924,1076328656,0,0,2017958,0,168,0,17,0,,,,0,0,5.5,50.0,,28,0
15.2,16:21:04,2395409924,1076328656,0,0,2017958,0,168,0,17,0,,,,0,0,3.0,51.0,,28,0
16.2,16:21:05,2395409924,1076328656,0,0,2017958,0,168,0,17,0,,,,0,0,3.4,51.0,,28,0
